sample,read_type,count
e00300-C,filtered,8585
e00300-C,denoisedF,8576
e00300-C,denoisedR,8559
e00300-C,merged,8552
e00300-C,nonchim,8552
e00301-A,input,9838
e00301-A,filtered,9819
e00301-A,denoisedF,9811
e00301-A,denoisedR,9805
e00301-A,merged,9325
e00301-A,nonchim,8777
e00301-B,input,20829
e00301-B,filtered,20798
e00301-B,denoisedF,20783
e00301-B,denoisedR,20748
e00301-B,merged,20685
e00301-B,nonchim,19671
e00301-C,input,21397
e00301-C,filtered,21362
e00301-C,denoisedF,21355
e00301-C,denoisedR,21333
e00301-C,merged,21214
e00301-C,nonchim,20062
e00302-A,input,9664
e00302-A,filtered,9640
e00302-A,denoisedF,9635
e00302-A,denoisedR,9623
e00302-A,merged,9576
e00302-A,nonchim,9185
e00302-B,input,34560
e00302-B,filtered,34471
e00302-B,denoisedF,34384
e00302-B,denoisedR,34136
e00302-B,merged,19554
e00302-B,nonchim,18818
e00302-C,input,22447
e00302-C,filtered,22407
e00302-C,denoisedF,22400
e00302-C,denoisedR,22373
e00302-C,merged,22279
e00302-C,nonchim,21367
e00303-A,input,7197
e00303-A,filtered,7189
e00303-A,denoisedF,7172
e00303-A,denoisedR,7173
e00303-A,merged,6080
e00303-A,nonchim,5841
e00303-B,input,13784
e00303-B,filtered,13770
e00303-B,denoisedF,13754
e00303-B,denoisedR,13739
e00303-B,merged,13674
e00303-B,nonchim,13388
e00303-C,input,33966
e00303-C,filtered,33920
e00303-C,denoisedF,33880
e00303-C,denoisedR,33845
e00303-C,merged,12337
e00303-C,nonchim,12107
e00304-A,input,450
e00304-A,filtered,450
e00304-A,denoisedF,450
e00304-A,denoisedR,448
e00304-A,merged,448
e00304-A,nonchim,448
e00304-B,input,57712
e00304-B,filtered,57407
e00304-B,denoisedF,57327
e00304-B,denoisedR,57360
e00304-B,merged,8457
e00304-B,nonchim,8457
e00304-C,input,4220
e00304-C,filtered,4211
e00304-C,denoisedF,4209
e00304-C,denoisedR,4206
e00304-C,merged,4205
e00304-C,nonchim,4205
e00305-A,input,5058
e00305-A,filtered,5054
e00305-A,denoisedF,5053
e00305-A,denoisedR,5041
e00305-A,merged,5021
e00305-A,nonchim,4701
e00305-B,input,16801
e00305-B,filtered,16770
e00305-B,denoisedF,16733
e00305-B,denoisedR,16742
e00305-B,merged,16540
e00305-B,nonchim,14650
e00305-C,input,14967
e00305-C,filtered,14945
e00305-C,denoisedF,14915
e00305-C,denoisedR,14914
e00305-C,merged,14805
e00305-C,nonchim,14583
e00306-A,input,9076
e00306-A,filtered,9066
e00306-A,denoisedF,9055
e00306-A,denoisedR,9026
e00306-A,merged,8884
e00306-A,nonchim,8602
e00306-B,input,21887
e00306-B,filtered,21847
e00306-B,denoisedF,21828
e00306-B,denoisedR,21803
e00306-B,merged,21664
e00306-B,nonchim,20501
e00306-C,input,22381
e00306-C,filtered,22355
e00306-C,denoisedF,22316
e00306-C,denoisedR,22298
e00306-C,merged,22105
e00306-C,nonchim,21266
e00307-A,input,8628
e00307-A,filtered,8618
e00307-A,denoisedF,8552
e00307-A,denoisedR,8594
e00307-A,merged,8438
e00307-A,nonchim,8021
e00307-B,input,17877
e00307-B,filtered,17849
e00307-B,denoisedF,17833
e00307-B,denoisedR,17815
e00307-B,merged,17770
e00307-B,nonchim,17483
e00307-C,input,18632
e00307-C,filtered,18611
e00307-C,denoisedF,18567
e00307-C,denoisedR,18564
e00307-C,merged,18446
e00307-C,nonchim,18014
e00308-A,input,1234
e00308-A,filtered,1226
e00308-A,denoisedF,1222
e00308-A,denoisedR,1222
e00308-A,merged,1222
e00308-A,nonchim,1220
e00308-B,input,22490
e00308-B,filtered,22387
e00308-B,denoisedF,22346
e00308-B,denoisedR,22344
e00308-B,merged,6657
e00308-B,nonchim,6651
e00308-C,input,55568
e00308-C,filtered,55363
e00308-C,denoisedF,55313
e00308-C,denoisedR,55242
e00308-C,merged,4639
e00308-C,nonchim,4637
e00309-A,input,6270
e00309-A,filtered,6258
e00309-A,denoisedF,6252
e00309-A,denoisedR,6239
e00309-A,merged,6210
e00309-A,nonchim,5968
e00309-B,input,16148
e00309-B,filtered,16126
e00309-B,denoisedF,16096
e00309-B,denoisedR,16078
e00309-B,merged,15933
